DIVISION,DATE,SALES ($),DEMAND (No. of Handsets),SALES (No. of Handsets),CH1_SMS,CH2_Newspaper ads,CH3_Radio,CH4_TV,CH5_Pay Per Click,CH_6_Offline,CH_7_Contest,CH_8_Coupons,CH_9_Internet,CH_10_Email to customers,CH_11_Facebook Post,CH_12_Facebook ads,CH_13_Sponsership,CH_14_Newsletter article,CH_15_Direct mail,CH_16_Poster,"Variables,Adstock,Power,Lag"
HANDSET MANUFACTURING UNIT,1/1/2010,1533299.16,4384,4240,77.4819,14.104193,112.337,1479.4565,95.333,11.8398,10.3024,9.702,722.571,91,276.3636,756.5909,181.36364,72.7727,13.0455,27.0455,"Mobile SMS,00||10||20||30||40||50||60,030||040||050||060||070||080,0"
HANDSET MANUFACTURING UNIT,2/1/2010,1681816.96,4366,4266,73.4783,13.298758,105.7133,1369.8913,114.957,27.8039,5.5246,10.647,717.857,111.9091,291.3182,860.1364,208.62727,376.8636,32.9545,158.4545,"Newspaper Ads,00,030||040||041||042||043||045||046||047||048||049||050||060||070||080,0"
HANDSET MANUFACTURING UNIT,3/1/2010,1353028.79,4006,4206,80.6093,13.200691,108.7702,1428.0645,113.09,0,6.6232,7.5329,653.333,94.6364,282.7273,751.9545,181.20455,51.7727,6.5909,21.4545,"Radio,00,030||040||050||060||070||080,0"
HANDSET MANUFACTURING UNIT,4/1/2010,1488860.84,4076,4176,65.9319,12.721429,93.3065,1309.3548,72.442,0,10.1606,4.7773,622.095,98.5909,306.3182,749.4545,194.32727,73.5,7.2273,25.0455,"TV,00||10||20||30||40||50||60,030||040||050||060||070||080,0||1||2"
HANDSET MANUFACTURING UNIT,5/1/2010,1633299.16,4834,5234,77.4819,14.104193,112.337,1479.4565,95.333,11.8398,10.3024,9.702,722.571,91,276.3636,756.5909,181.36364,72.7727,13.0455,27.0455,"Pay per Click,00||10||20||30||40||50||60,030||040||050||060||070||080,0||1||2"
HANDSET MANUFACTURING UNIT,6/1/2010,1981816.96,4636,4446,73.4783,13.298758,105.7133,1369.8913,114.957,27.8039,5.5246,10.647,717.857,111.9091,291.3182,860.1364,208.62727,376.8636,32.9545,158.4545,"Offline,00||10||20||30||40||50||60,030||040||050||060||070||080,0||1||2"
HANDSET MANUFACTURING UNIT,7/1/2010,1453028.79,4166,4346,80.6093,13.200691,108.7702,1428.0645,113.09,0,6.6232,7.5329,653.333,94.6364,282.7273,751.9545,181.20455,51.7727,6.5909,21.4545,"Coupons,00||10||20||30||40||50||60,030||040||050||060||070||080,0||1||2"
HANDSET MANUFACTURING UNIT,8/1/2010,1518860.84,4186,4216,65.9319,12.721429,93.3065,1309.3548,72.442,0,10.1606,4.7773,622.095,98.5909,306.3182,749.4545,194.32727,73.5,7.2273,25.0455,"Internet,00||10||20||30||40||50||60,030||040||050||060||070||080,0||1||2"
HANDSET MANUFACTURING UNIT,9/1/2010,1517172.34,4405,4505,89.7283,13.792314,117.6359,1417.0109,87.649,0,9.1476,6.8735,624.238,105.0455,306.4545,754.2727,193.13182,40.5455,6.8636,15.2273,"Direct Emails to Customer,00||10||20||30||40||50||60,030||040||050||060||070||080,0||1||2"
HANDSET MANUFACTURING UNIT,10/1/2010,1546474.19,5561,5661,68.8095,12.581633,91.6071,1334.3407,38.235,0,9.8336,6.4465,611.714,108,305.9545,776.6364,198.85909,79.5909,6.2273,24.0909,"Facebook Posts,00||10||20||30,030||040||050||060||070||080,0||1||2"
HANDSET MANUFACTURING UNIT,11/1/2010,1701807.82,6205,6305,80.1434,13.419355,101.6935,1390.6452,92.486,6.9945,14.7215,13.028,627.238,112.9545,304.8636,867.1818,215.82273,128.9545,12.4545,53.5,"Facebook Ads,00||10||20||30||40||50||60,030||040||050||060||070||080,0||1||2"
HANDSET MANUFACTURING UNIT,12/1/2010,2402269.91,5006,5226,84.3369,13.476267,105.8871,1442.5806,206.96,69.9877,12.248,10.9496,613.143,115.3636,298.5455,905.4091,210.12727,95.0909,9.4545,38.4091,"Newsletter Article,00||10||20||30||40,030||040||050||060||070||080,0||1||2"
HANDSET MANUFACTURING UNIT,13-01-2010,1211285.34,5034,5134,75.4189,13.207026,104.5594,1417.1311,83.632,49.589,11.5623,10.8429,615.857,171.5,309.6818,880.5909,206.69091,49.5455,8,15.3182,"Personalized Email,00||10||20||30||40,030||040||050||060||070||080,0||1||2"
HANDSET MANUFACTURING UNIT,14-01-2010,1392916.07,4319,4279,70.7921,12.964604,97.6207,1357.7228,118.126,46.3774,3.1245,2.5872,688.667,123.8182,273.7727,791.7727,187.37273,43.3636,7.6364,10.4091,"Poster,00||10||20||30||40,030||040||050||060||070||080,0||1||2"
HANDSET MANUFACTURING UNIT,15-01-2010,1453544.72,5082,5212,68.9912,13.25047,102.4712,1378.4211,125.388,47.8766,2.0725,5.0021,636.667,111.2727,275.6818,867.7273,190.5,53.7273,7.3636,19.9091,
HANDSET MANUFACTURING UNIT,16-01-2010,1380051.81,5155,5245,69.6637,13.080365,102.3094,1393.8565,86.23,34.2365,6.2367,4.7043,610.286,117.6818,280.8182,840.1364,187.14545,103.4545,13.0455,38.1818,
HANDSET MANUFACTURING UNIT,17-01-2010,1422494.23,6000,6280,66.0726,13.407284,95.4486,1428.7871,95.229,60.6667,4.0538,4.6605,622.095,100.9091,284.9545,796.5909,188.38636,93.5,12.8182,37.2727,
HANDSET MANUFACTURING UNIT,18-01-2010,1437549.59,6340,6240,74.1848,13.345691,103.0639,1399.9728,158.382,18.7505,2.9959,5.697,602,112.2727,281.6818,914.9091,208.49545,112.8636,14,39.9091,
HANDSET MANUFACTURING UNIT,19-01-2010,1372801.73,6402,6482,63.5185,13.116667,97.2917,1400.1282,48.039,19.0108,1.5954,6.4722,5072.619,116.8182,265.9091,1379.4091,255.45909,87.6364,10.7727,38,
HANDSET MANUFACTURING UNIT,20-01-2010,1452659.76,7312,7542,68.8107,13.319634,96.5201,1397.7889,221.528,0,2.4199,4.2477,5413.095,118.6364,279.1818,904.5,204.01364,85.2273,11.8182,34.5455,
HANDSET MANUFACTURING UNIT,21-01-2010,1335773.87,5369,5759,73.7652,13.23974,97.5,1390.8409,208.569,30.429,7.2596,5.3951,5230.286,103.9545,276.2727,828.0455,187.80909,64.5,11.6818,20.2727,
HANDSET MANUFACTURING UNIT,22-01-2010,1383940.44,6231,6841,72.1859,13.440022,97.255,1411.5829,136.737,31.5863,8.4306,5.5902,2421.429,109.3182,283.2727,953.0455,214.22273,65.5455,11,24.0909,
HANDSET MANUFACTURING UNIT,23-01-2010,1437164.02,6796,6456,66.0888,13.228643,97.6225,1406.0804,151.538,43.0027,7.306,4.7375,2126.714,119.2727,299.3636,945,198.74545,98,58.8182,11.5,
HANDSET MANUFACTURING UNIT,24-01-2010,1346017.92,5783,5453,74.5333,12.9675,98.9625,1358.775,5.659,43.1783,11.0019,6.6564,6354.571,106.9545,286.7273,896.5,207.1,81.5455,23.7727,18.6818,
HANDSET MANUFACTURING UNIT,25-01-2010,1391444.98,6364,4484,82.3549,13.487846,108.8993,1441.5672,173.248,11.7112,18.9944,5.6173,3272.952,138.3182,317.8182,1253.8636,220.58636,107.2273,19.5909,21.8636,
HANDSET MANUFACTURING UNIT,26-01-2010,1400415.18,5775,4266,73.0167,13.521857,100.9125,1417.05,200.366,11.8272,14.881,2.8462,2568.714,120.9545,254.0909,912.6818,187.73636,63.8182,16.0455,17.2273,
HANDSET MANUFACTURING UNIT,27-01-2010,1324906.94,6700,4206,80.2514,13.530168,101.449,1417.1229,100.809,0,10.6956,9.0622,4164.429,139.4545,273.4545,1060.3182,210.21818,62.9545,14.4091,17.6364,
HANDSET MANUFACTURING UNIT,28-01-2010,1370126.81,6140,4176,74.2157,13.368908,102.5735,1438.0995,32.421,50.8308,6.7532,3.7021,3379.333,116.9091,254,913.5909,230.17727,126.5909,24.6818,21.4545,
HANDSET MANUFACTURING UNIT,29-01-2010,1326757.42,6842,5234,81.9,13.955036,112.8563,1451.775,52.031,144.9951,2.792,6.7298,3155.143,87.1364,241.4545,799.1818,245.33636,133.2727,18.1364,22.4091,
HANDSET MANUFACTURING UNIT,30-01-2010,1401271.75,7645,4446,70.4439,13.584207,102.6445,1436.1558,172.967,95.636,21.1549,11.0618,252.905,79.3636,221.9545,853.5909,220.00455,211.1818,34.5909,71.7273,
HANDSET MANUFACTURING UNIT,31-01-2010,1404427.38,6951,4346,70.8209,13.662473,99.8041,1446.791,189.24,11.8084,22.0559,16.3239,2981.048,93.0909,240.1364,881.7273,202.85909,177.4545,31.2727,68.4545,
HANDSET MANUFACTURING UNIT,1/2/2010,1442009.24,7668,4216,76.9832,13.57063,103.6278,1462.2905,206.839,3.8765,24.7528,12.8866,3706.667,97.9545,244.3636,971.9091,223.51364,242.4545,30.6818,110.3182,
HANDSET MANUFACTURING UNIT,2/2/2010,1501977.33,8565,4505,75.0382,13.75095,103.3142,1438.6927,132.829,0,22.3612,10.12,2226.429,94.3182,230.0455,868.1818,203.79545,104.9545,18.7273,31.5909,
HANDSET MANUFACTURING UNIT,3/2/2010,1472556.02,7733,5661,86.2007,13.771313,118.4677,1477.8226,194.316,34.6945,16.1471,10.5085,4038.81,77.8182,197.1818,821.3636,186.13636,118.8636,16.1364,29.1818,
HANDSET MANUFACTURING UNIT,4/2/2010,1437436.41,7926,6305,71.3785,13.186582,98.639,1387.5,140.09,35.5475,25.5469,16.3561,3323.762,66.8636,191.1818,770.9091,189.49545,68.1364,11.8636,20,
HANDSET MANUFACTURING UNIT,5/2/2010,1414660.67,7236,5226,70.1412,13.363559,98.464,1424.4915,149.738,15.863,8.4092,6.4329,4422.667,66.9545,194.4545,697.6364,177.88182,34.2273,4.4091,10.1364,
HANDSET MANUFACTURING UNIT,6/2/2010,1416832.56,8113,5134,70.0298,13.411224,104.3555,1417.0982,99.954,15.817,30.4317,19.1214,3892.381,98.1364,253.5455,928.5455,232.93636,36,3.9091,8,
HANDSET MANUFACTURING UNIT,7/2/2010,1469815.17,6600,4279,70.7417,13.195929,98.9625,1400.175,117.032,0,26.9388,8.9639,1885.191,95.9091,254.0455,843.4091,214.49545,61.6364,8.7727,18.6364,
HANDSET MANUFACTURING UNIT,8/2/2010,1540875.55,7400,5212,75.7181,13.641109,98.5372,1401.3032,121.125,35.811,15.591,17.2415,1953.81,89.0909,245.5,767.3182,188.95,37.1364,4.0909,12,
HANDSET MANUFACTURING UNIT,9/2/2010,1530054.05,7335,5245,62.6861,12.822399,84.1292,1339.8058,189.038,0,14.6214,8.1612,1791.191,94.4091,247.6364,802.2273,215.27727,48.7273,3.8182,15.5909,
HANDSET MANUFACTURING UNIT,10/2/2010,1584425.04,6638,6280,72.1521,13.686512,97.145,1434.9029,196.773,0,11.5737,8.7112,3074.667,92.0455,291.5909,785.5909,209.51364,43,3.8636,16.8636,
HANDSET MANUFACTURING UNIT,11/2/2010,1695797.42,7282,6240,72.9083,13.361679,102.375,1442.025,160.32,0,9.656,8.0974,3117.048,135.0455,249.3182,846.5,187.00455,45.8182,5.8182,13.9091,
HANDSET MANUFACTURING UNIT,12/2/2010,1929664.62,6834,6482,71.8265,13.682436,98.0009,1460.4452,147.936,40.3932,9.0486,9.3905,2023.524,92.5,221.1818,790.3636,177.93636,41.5909,4.7727,16.2273,
HANDSET MANUFACTURING UNIT,13-02-2010,1463802.39,7541,7542,70.9562,13.756545,98.7625,1454.8207,262.807,0,16.3995,14.9244,3395.667,96.9091,252.4091,898.4545,220.62273,65.5909,18.1818,17.6364,
HANDSET MANUFACTURING UNIT,14-02-2010,1490261.66,7830,5759,59.2809,13.217295,84.632,1392.1066,311.592,30.3757,17.5951,11.626,2921.333,106.1818,254.9091,1144.5455,280.93636,74.1364,30.1364,16.1818,
HANDSET MANUFACTURING UNIT,15-02-2010,1773655.33,10642,6841,64.7032,13.211155,92.6027,1397.2603,455.428,46.9608,20.7395,17.4295,2825.095,126.0455,269.3182,1115.2727,230.66364,74.1818,27.6364,17.5909,
HANDSET MANUFACTURING UNIT,16-02-2010,1630311.65,9739,6456,68.4878,13.715226,90.128,1433.561,467.509,93.5075,34.547,30.3686,5082.667,114.2273,324.5909,1271.5455,300.20455,94.2727,17.0455,25.8636,
HANDSET MANUFACTURING UNIT,17-02-2010,1988101.74,16778,5453,63.4742,13.85664,89.0317,1441.4789,402.614,0,38.2332,25.3185,4011.714,118.0455,281.5455,971.7273,231.90909,62.5455,11.8636,20.9545,
HANDSET MANUFACTURING UNIT,18-02-2010,2239323.58,11632,5134,61.0278,13.6175,90.3229,1411.8333,435.346,105.1623,37.684,25.5769,2666.857,118.5909,261.4545,893.6818,217.71364,39.1818,7.6818,12.1818,
HANDSET MANUFACTURING UNIT,19-02-2010,2741551.49,11814,4279,56.0507,12.873331,75.9069,1322.6087,408.612,0,36.1916,21.2754,1675.905,175.5455,275.6364,3826.6818,356.93182,56.0909,10.9545,16.1818,
HANDSET MANUFACTURING UNIT,20-02-2010,1911687.82,6701,5212,62.4074,13.102381,85.1042,1365,481.883,104.0112,6.359,5.2909,3668.476,167.9545,241.7273,2170.1818,247.02727,45.7727,11.3636,9.7273,
HANDSET MANUFACTURING UNIT,21-02-2010,1495108.12,8936,5245,58.3943,12.994338,80.5564,1387.4085,217.694,0,0,0,0,95,216.7273,969.1818,172.79091,16.8636,2.5,5,
HANDSET MANUFACTURING UNIT,22-02-2010,1358937.65,9393,6280,47.5541,12.722032,73.125,1333.3442,52.865,25.8875,0.2319,0,2429.714,111.0909,234.9545,1835.1818,225.4,59.2273,4.0909,24.7727,
HANDSET MANUFACTURING UNIT,23-02-2010,1382330.03,9602,6240,59.8805,13.436076,80.3244,1381.6456,88.948,26.1196,0.2232,0,2754.048,115.1818,242.5909,1697.8636,241.82727,33.9545,4.9091,6.7273,
HANDSET MANUFACTURING UNIT,24-02-2010,2406703.61,10207,6482,61.2679,13.43674,77.7901,1413.0861,57.238,36.1466,0.1027,0,2785.095,141.6818,237.7727,1549.3636,202.90909,334.0455,3.6818,7,
HANDSET MANUFACTURING UNIT,25-02-2010,2512297.06,10717,7542,71.0122,13.404974,84.7382,1402.9319,28.846,62.6395,0.094,5.4546,4393.286,108.2273,248.8182,1114.8636,212.45455,292.2727,30.6818,118.3182,
HANDSET MANUFACTURING UNIT,26-02-2010,1564157.78,12512,5759,60.1852,13.030952,83.9583,1380,621.432,20.7815,6.1354,8.5634,3948.333,108.3182,276.7273,1028.1364,214.91364,74.8182,13.3182,20.8636,
HANDSET MANUFACTURING UNIT,27-02-2010,2040216.64,10264,6841,67.0833,13.468929,85.2188,1415.7115,1040.787,51.0694,5.293,2.3169,5381.381,119.9545,276.2727,941.4545,206.19545,38.9091,7.5,9.9545,
HANDSET MANUFACTURING UNIT,28-02-2010,2440791.55,11327,6456,60.6469,13.100489,78.3562,1368.8356,854.31,0,0.1386,0,4420.81,89.8636,226.3636,896.9545,178.92273,22.7273,2.5909,7.1364,
HANDSET MANUFACTURING UNIT,1/3/2010,1762327.23,10820,5453,58.1144,13.07043,80.045,1371.6737,587.16,0,0,0,4524.381,99,220.6818,1072.0455,177.15,27.7273,4.2273,8.3636,
HANDSET MANUFACTURING UNIT,2/3/2010,2465984.06,12338,5134,57.3207,13.081103,83.5127,1380.6962,522.584,0,6.7625,11.289,3647.762,108.6364,278.2273,928.5909,199.86364,79.0909,6.6818,23.2273,
HANDSET MANUFACTURING UNIT,3/3/2010,2459364.52,12567,4279,60.7032,13.50425,77.856,1385.1266,900.812,47.174,8.055,10.6689,3238.143,157.2727,258.3636,1084.3636,185.60455,47.1818,3.9091,17.8182,
HANDSET MANUFACTURING UNIT,4/3/2010,2489312.25,13143,5212,59.1749,13.853677,75.5225,1437.6393,818.376,0,7.4881,10.6691,4245.857,104.3636,233.6818,807.0909,177.96364,57.4545,5.3182,17.5,
HANDSET MANUFACTURING UNIT,5/3/2010,3467954.42,17828,5245,65.1245,13.325,78.0981,1381.7672,1100.992,46.782,8.2955,11.3669,3604,109.6364,226.5909,889.8636,182.87273,56.2727,6.4545,20.0909,
HANDSET MANUFACTURING UNIT,6/3/2010,2616862.34,13585,6280,60.6667,13.488857,76.725,1399.6615,272.036,0,8.4589,9.1026,4168.952,93.9545,222.7727,805.9091,201.14091,43.3182,5.0455,13.4545,
